Dí­a, Mes, Aí±o
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
1, 1, 2025
6, 1, 2025
24, 3, 2025
17, 4, 2025
18, 4, 2025
1, 5, 2025
2, 6, 2025
23, 6, 2025
30, 6, 2025
30, 6, 2025
20, 7, 2025
7, 8, 2025
18, 8, 2025
13, 10, 2025
3, 11, 2025
17, 11, 2025
8, 12, 2025
25, 12, 2025
1, 1, 2026
12, 1, 2026
23, 3, 2026
2, 4, 2026
3, 4, 2026
1, 5, 2026
18, 5, 2026
8, 6, 2026
15, 6, 2026
29, 6, 2026
20, 7, 2026
7, 8, 2026
17, 8, 2026
12, 10, 2026
2, 11, 2026
16, 11, 2026
8, 12, 2026
25, 12, 2026
1, 1, 2027
11, 1, 2027
22, 3, 2027
25, 3, 2027
26, 3, 2027
1, 5, 2027
10, 5, 2027
31, 5, 2027
7, 6, 2027
5, 7, 2027
20, 7, 2027
7, 8, 2027
16, 8, 2027
18, 10, 2027
1, 11, 2027
15, 11, 2027
8, 12, 2027
25, 12, 2027
1, 1, 2025
6, 1, 2025
24, 3, 2025
17, 4, 2025
18, 4, 2025
1, 5, 2025
2, 6, 2025
23, 6, 2025
30, 6, 2025
30, 6, 2025
20, 7, 2025
7, 8, 2025
18, 8, 2025
13, 10, 2025
3, 11, 2025
17, 11, 2025
8, 12, 2025
25, 12, 2025
1, 1, 2026
12, 1, 2026
23, 3, 2026
2, 4, 2026
3, 4, 2026
1, 5, 2026
18, 5, 2026
8, 6, 2026
15, 6, 2026
29, 6, 2026
20, 7, 2026
7, 8, 2026
17, 8, 2026
12, 10, 2026
2, 11, 2026
16, 11, 2026
8, 12, 2026
25, 12, 2026
1, 1, 2027
